"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" к аксипирп( й - ]ытяп тяседьтяп[55";"укминс";"55[пятьдесят пяты] - й (приписка к ";"снимку";"), ";"в парке, за школой и танцплощадкой";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" и йолокш аз ,екрап в ,)укминс";"йокдащолпцнат";"снимку), в парке, за школой и ";"танцплощадкой";"… ";"ты поправляешь в чулке резинку (классика";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" еклуч в ьшеялварпоп ыт …йокдащолпцнат и";"укнизер";"и танцплощадкой… ты поправляешь в чулке ";"резинку";" (";"классика психиатрии), украдкой я с безразличием";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" ,)ииртаихисп акиссалк( укнизер еклуч в ьшеялварпоп";"йокдарку";"поправляешь в чулке резинку (классика психиатрии), ";"украдкой";" ";"я с безразличием пялюсь жадным на";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" ьсюляп меичилзарзеб с я йокдарку ,)ииртаихисп";"мындаж";"психиатрии), украдкой я с безразличием пялюсь ";"жадным";" ";"на что-то белое и девичье, на";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" и еолеб от-отч ан мындаж ьсюляп";"еьчивед";"пялюсь жадным на что-то белое и ";"девичье";", ";"на… ― но сбивается ракурс (рад нам";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
"( срукар ястеавибс он ― …ан ,еьчивед и";"дар";"и девичье, на… ― но сбивается ракурс (";"рад";" ";"нам или не рад, кто блюдет";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" дар( срукар ястеавибс он ― …ан ,еьчивед";"ман";"девичье, на… ― но сбивается ракурс (рад ";"нам";" ";"или не рад, кто блюдет приличья";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" тедюлб отк ,дар ен или ман";"яьчилирп";"нам или не рад, кто блюдет ";"приличья";" ― ";"это за кадром)… ― но я, занудой";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" ,я он ― …)мордак аз отэ ― яьчилирп";"йодуназ";"приличья ― это за кадром)… ― но я, ";"занудой";", ";"сходство ловлю в тебе с тою";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
